sa1,lang1,lang1_count,lang2,lang2_count,lang3,lang3_count
2111615,Italian,47,Greek,22,Hindi,21
2111616,Italian,24,Nepali,10,Spanish,9
2111617,Italian,25,Mandarin,14,Greek,10
2111618,Italian,24,Greek,12,Croatian,11
2111619,Italian,36,Greek,20,Vietnamese,9
2111620,Italian,22,Greek,21,Cantonese,8
2111621,Italian,42,Greek,18,German,11
2111622,Greek,23,Italian,15,Japanese,11
2111623,Italian,40,Mandarin,17,Spanish,11
2111624,Italian,46,Mandarin,17,Greek,12
2111625,Italian,24,Mandarin,24,Spanish,10
2111626,Italian,51,Greek,32,Thai,16
2111627,Italian,40,Greek,8,Dutch,4
2111628,Italian,59,Greek,14,Hindi,14
2111630,Greek,26,Italian,13,Cantonese,13
2111631,Italian,25,Greek,12,Vietnamese,11
2111632,Italian,13,Mandarin,7,Greek,5
2122601,Italian,43,Vietnamese,15,Greek,14
2122602,Italian,43,Mandarin,12,Spanish,10
2122603,Italian,73,Mandarin,22,Greek,17
2122604,Italian,77,Greek,23,Mandarin,16
2122605,Italian,61,Greek,18,Spanish,8
2122606,Italian,86,Greek,20,Hindi,20
2122607,Italian,41,Greek,23,Nepali,9
2122608,Italian,66,Arabic,20,Greek,15
2122609,Italian,53,Greek,14,Spanish,8
2122610,Italian,18,Mandarin,10,Arabic,8
2122611,Italian,46,Greek,17,Spanish,10
2122612,Italian,68,Greek,14,Maltese,8
2122613,Italian,57,Greek,19,Arabic,9
2122614,Italian,21,Spanish,8,Greek,7
2122615,Italian,21,Greek,8,Hindi,7
2122617,Italian,29,Greek,9,Marathi,7
2122901,Italian,32,Greek,25,Turkish,11
2122902,Italian,112,Vietnamese,42,Greek,32
2122903,Vietnamese,47,Croatian,19,Greek,15
2122904,Cantonese,44,Italian,23,Vietnamese,22
2122905,Italian,100,Vietnamese,18,Arabic,17
2122906,Italian,90,Greek,41,Arabic,33
2122907,Italian,74,Greek,15,Maltese,14
2122908,Greek,59,Italian,44,Vietnamese,29
2122909,Italian,73,Greek,32,Vietnamese,22
2122910,Italian,72,Greek,17,Vietnamese,12
2122911,Italian,104,Greek,52,Arabic,21
2122912,Vietnamese,52,Italian,27,Cantonese,19
2122913,Italian,70,Croatian,14,Cantonese,10
2122914,Italian,84,Vietnamese,62,Greek,52
2122915,Vietnamese,23,Croatian,22,Italian,17
2122916,Italian,48,Vietnamese,39,Croatian,22
2122917,Italian,65,Greek,21,Vietnamese,21
2122918,Italian,62,Spanish,28,Cantonese,27
2122919,Greek,25,Vietnamese,24,Italian,17
2122920,Italian,49,Cantonese,20,Greek,16
2122921,Italian,54,Greek,32,Malayalam,14
2122922,Greek,35,Italian,18,Croatian,8
2122923,Italian,51,Greek,6,Croatian,5
2122924,Italian,36,Greek,24,Mandarin,10
2122925,Italian,35,Greek,12,Vietnamese,11
2122926,Italian,80,Greek,32,Vietnamese,17
2122927,Italian,41,Greek,29,Arabic,21
2122928,Italian,40,Greek,26,Vietnamese,8
2122929,Italian,63,Cantonese,26,Greek,23
