Counting,SA1 (UR),LANP - 4 Digit Level,Count
"Persons, Place of Usual Residence",2111309,Afrikaans,3
"Persons, Place of Usual Residence",2111309,French,5
"Persons, Place of Usual Residence",2111309,Greek,17
"Persons, Place of Usual Residence",2111309,Spanish,7
"Persons, Place of Usual Residence",2111309,Italian,12
"Persons, Place of Usual Residence",2111309,Croatian,4
"Persons, Place of Usual Residence",2111309,Persian (excluding Dari),3
"Persons, Place of Usual Residence",2111309,Arabic,9
"Persons, Place of Usual Residence",2111309,Malayalam,5
"Persons, Place of Usual Residence",2111309,Hindi,12
"Persons, Place of Usual Residence",2111309,Sinhalese,4
"Persons, Place of Usual Residence",2111309,Urdu,7
"Persons, Place of Usual Residence",2111309,Vietnamese,4
"Persons, Place of Usual Residence",2111309,Filipino,3
"Persons, Place of Usual Residence",2111309,"Southeast Asian Austronesian Languages, nec",4
"Persons, Place of Usual Residence",2111309,Cantonese,8
"Persons, Place of Usual Residence",2111309,Mandarin,5
"Persons, Place of Usual Residence",2111309,Somali,9
"Persons, Place of Usual Residence",2111309,Not stated,25
"Persons, Place of Usual Residence",2111310,Welsh,3
"Persons, Place of Usual Residence",2111310,English,186
"Persons, Place of Usual Residence",2111310,Greek,12
"Persons, Place of Usual Residence",2111310,Portuguese,5
"Persons, Place of Usual Residence",2111310,Spanish,5
"Persons, Place of Usual Residence",2111310,Italian,31
"Persons, Place of Usual Residence",2111310,Maltese,5
"Persons, Place of Usual Residence",2111310,Hindi,3
"Persons, Place of Usual Residence",2111310,Vietnamese,10
"Persons, Place of Usual Residence",2111310,Cantonese,6
"Persons, Place of Usual Residence",2111310,Not stated,10
"Persons, Place of Usual Residence",2111311,English,498
"Persons, Place of Usual Residence",2111311,German,5
"Persons, Place of Usual Residence",2111311,Greek,12
"Persons, Place of Usual Residence",2111311,Spanish,7
"Persons, Place of Usual Residence",2111311,Italian,26
"Persons, Place of Usual Residence",2111311,Maltese,3
"Persons, Place of Usual Residence",2111311,Croatian,4
"Persons, Place of Usual Residence",2111311,Serbian,3
"Persons, Place of Usual Residence",2111311,Arabic,5
"Persons, Place of Usual Residence",2111311,Turkish,5
"Persons, Place of Usual Residence",2111311,Tamil,4
"Persons, Place of Usual Residence",2111311,Hindi,3
"Persons, Place of Usual Residence",2111311,Punjabi,4
"Persons, Place of Usual Residence",2111311,Urdu,3
"Persons, Place of Usual Residence",2111311,Vietnamese,9
"Persons, Place of Usual Residence",2111311,Mandarin,6
"Persons, Place of Usual Residence",2111311,Korean,6
"Persons, Place of Usual Residence",2111311,Somali,4
"Persons, Place of Usual Residence",2111311,Not stated,43
"Persons, Place of Usual Residence",2111312,English,369
"Persons, Place of Usual Residence",2111312,Greek,12
"Persons, Place of Usual Residence",2111312,Italian,6
"Persons, Place of Usual Residence",2111312,Serbian,6
"Persons, Place of Usual Residence",2111312,Arabic,10
"Persons, Place of Usual Residence",2111312,Gujarati,3
"Persons, Place of Usual Residence",2111312,Hindi,7
"Persons, Place of Usual Residence",2111312,Nepali,4
"Persons, Place of Usual Residence",2111312,Sinhalese,4
"Persons, Place of Usual Residence",2111312,Vietnamese,7
"Persons, Place of Usual Residence",2111312,Cantonese,14
"Persons, Place of Usual Residence",2111312,Mandarin,20
"Persons, Place of Usual Residence",2111312,Japanese,4
"Persons, Place of Usual Residence",2111312,Amharic,3
"Persons, Place of Usual Residence",2111312,Not stated,46
"Persons, Place of Usual Residence",2111313,English,297
"Persons, Place of Usual Residence",2111313,Dutch,3
"Persons, Place of Usual Residence",2111313,French,7
"Persons, Place of Usual Residence",2111313,Greek,21
"Persons, Place of Usual Residence",2111313,Italian,36
"Persons, Place of Usual Residence",2111313,Albanian,4
"Persons, Place of Usual Residence",2111313,Assyrian Neo-Aramaic,3
"Persons, Place of Usual Residence",2111313,Malayalam,5
"Persons, Place of Usual Residence",2111313,Tagalog,6
"Persons, Place of Usual Residence",2111313,Mandarin,3
"Persons, Place of Usual Residence",2111313,Not stated,12
"Persons, Place of Usual Residence",2111314,English,282
"Persons, Place of Usual Residence",2111314,Dutch,3
"Persons, Place of Usual Residence",2111314,Greek,14
"Persons, Place of Usual Residence",2111314,Italian,24
"Persons, Place of Usual Residence",2111314,Vietnamese,4
"Persons, Place of Usual Residence",2111314,Cantonese,7
"Persons, Place of Usual Residence",2111314,Mandarin,9
"Persons, Place of Usual Residence",2111314,Not stated,33
"Persons, Place of Usual Residence",2111315,English,331
"Persons, Place of Usual Residence",2111315,German,4
"Persons, Place of Usual Residence",2111315,Greek,14
"Persons, Place of Usual Residence",2111315,Spanish,6
"Persons, Place of Usual Residence",2111315,Italian,26
"Persons, Place of Usual Residence",2111315,Russian,3
"Persons, Place of Usual Residence",2111315,Croatian,4
"Persons, Place of Usual Residence",2111315,Macedonian,8
"Persons, Place of Usual Residence",2111315,Tamil,7
"Persons, Place of Usual Residence",2111315,Sinhalese,3
"Persons, Place of Usual Residence",2111315,Vietnamese,6
"Persons, Place of Usual Residence",2111315,Indonesian,3
"Persons, Place of Usual Residence",2111315,Tagalog,4
"Persons, Place of Usual Residence",2111315,Cantonese,4
"Persons, Place of Usual Residence",2111315,Not stated,33
"Persons, Place of Usual Residence",2111316,English,178
"Persons, Place of Usual Residence",2111316,Spanish,5
"Persons, Place of Usual Residence",2111316,Italian,8
"Persons, Place of Usual Residence",2111316,Arabic,23
"Persons, Place of Usual Residence",2111316,Vietnamese,65
"Persons, Place of Usual Residence",2111316,Lao,3
"Persons, Place of Usual Residence",2111316,Filipino,4
"Persons, Place of Usual Residence",2111316,Cantonese,6
"Persons, Place of Usual Residence",2111316,Mandarin,10
"Persons, Place of Usual Residence",2111316,Somali,25
"Persons, Place of Usual Residence",2111316,Amharic,4
"Persons, Place of Usual Residence",2111316,Dinka,5
"Persons, Place of Usual Residence",2111316,Tigrinya,5
"Persons, Place of Usual Residence",2111316,Not stated,62
"Persons, Place of Usual Residence",2111317,English,101
"Persons, Place of Usual Residence",2111317,French,6
"Persons, Place of Usual Residence",2111317,Spanish,11
"Persons, Place of Usual Residence",2111317,Italian,4
"Persons, Place of Usual Residence",2111317,Serbian,6
"Persons, Place of Usual Residence",2111317,Arabic,55
"Persons, Place of Usual Residence",2111317,Assyrian Neo-Aramaic,4
"Persons, Place of Usual Residence",2111317,Turkish,5
"Persons, Place of Usual Residence",2111317,Bengali,3
"Persons, Place of Usual Residence",2111317,Vietnamese,24
"Persons, Place of Usual Residence",2111317,Thai,8
"Persons, Place of Usual Residence",2111317,Cantonese,4
"Persons, Place of Usual Residence",2111317,Hakka,3
"Persons, Place of Usual Residence",2111317,Mandarin,10
"Persons, Place of Usual Residence",2111317,Oromo,25
"Persons, Place of Usual Residence",2111317,Somali,35
